Conference,name,embed_code,thumbnail
Asia2013,Yodlee.mov,//fast.wistia.net/embed/iframe/dd99zl73nj,http://embed.wistia.com/deliveries/b3d72662d70b5aa761b1e2ce7c6a6ae5c1a469f7.jpg
Asia2012,ayondo.mov,//fast.wistia.net/embed/iframe/84vjh6kncf,http://embed.wistia.com/deliveries/966639f43317e53248134f7dcff5fdeb20119a7f.jpg
Asia2012,Backbase.mov,//fast.wistia.net/embed/iframe/pt9nrro7fn,http://embed.wistia.com/deliveries/2afd7809aa0138a7baf6077ada2cae6d9ebdccbe.jpg
Asia2012,BankBazaar.mov,//fast.wistia.net/embed/iframe/vyaqqavw9t,http://embed.wistia.com/deliveries/66027b9dca9b34e78c7b99fe1372cd7d46600d55.jpg
Asia2012,BankersLab.mov,//fast.wistia.net/embed/iframe/yh2w5zm8rz,http://embed.wistia.com/deliveries/ee34d9e323a06680ecd690141a8a0046d3c05146.jpg
Asia2012,BellaDati.mov,//fast.wistia.net/embed/iframe/kwj7oh0z58,http://embed.wistia.com/deliveries/77fcdac489a612310a3a8dadb409fe263ae5e341.jpg
Asia2012,BlinkMobile.mov,//fast.wistia.net/embed/iframe/xcv0t52gx4,http://embed.wistia.com/deliveries/fb0109a7da14a802dce23c49d64f6c8e2199225b.jpg
Asia2012,CurrencyFair.mov,//fast.wistia.net/embed/iframe/r1av4bc6jv,http://embed.wistia.com/deliveries/cf0738bbd21516952e908230eaf3e13e23858405.jpg
Asia2012,CustomerXPs.mov,//fast.wistia.net/embed/iframe/w5q08h4uhj,http://embed.wistia.com/deliveries/9827981eabdbae68c492717479a1f39c4800d2ee.jpg
Asia2012,DemystData.mov,//fast.wistia.net/embed/iframe/vfhnf2mcni,http://embed.wistia.com/deliveries/b68bcac3e15d54767c4f28ac5d9b70cde2c66680.jpg
Asia2012,EFL.mov,//fast.wistia.net/embed/iframe/iyhhkzeitm,http://embed.wistia.com/deliveries/d423017de5a490f07136ff25817ed72e52f19e17.jpg
Asia2012,eWise.mov,//fast.wistia.net/embed/iframe/8aiq4263ob,http://embed.wistia.com/deliveries/184e719e227d292ac3232dc29022faed670a5aea.jpg
Asia2012,Figlo.mov,//fast.wistia.net/embed/iframe/w3ayndkelo,http://embed.wistia.com/deliveries/e4f02d1a547e1e98d10c60f7db3da25f19f9b6db.jpg
Asia2012,Finantix.mov,//fast.wistia.net/embed/iframe/2d420364by,http://embed.wistia.com/deliveries/0151eceda6193fde094833c064dd4bc382c179a0.jpg
Asia2012,Fiserv.mov,//fast.wistia.net/embed/iframe/rkez3mn6t0,http://embed.wistia.com/deliveries/161d7216039ddc6d6bdc34fa7ffe37abbc1a628b.jpg
Asia2012,Heckyl.mov,//fast.wistia.net/embed/iframe/un1hs012oz,http://embed.wistia.com/deliveries/5af8e7f1b622b57f9eb56f80111391bead05e6af.jpg
Asia2012,InnovationAgency.mov,//fast.wistia.net/embed/iframe/vmw66ssqd3,http://embed.wistia.com/deliveries/2a26f865d5aee8e2ab3db39e6f978339f0ac09c8.jpg
Asia2012,InteracctSolutions.mov,//fast.wistia.net/embed/iframe/b8v7v4tjvj,http://embed.wistia.com/deliveries/41ed21c5b6047c2b9abf87b102fcd9d9a4bc0fc6.jpg
Asia2012,Luminous.mov,//fast.wistia.net/embed/iframe/a57o6xssnk,http://embed.wistia.com/deliveries/b4233e106c731eec5246d210ab0afa8674d0a4c5.jpg
Asia2012,Metaforic.mov,//fast.wistia.net/embed/iframe/4wr8ztzhae,http://embed.wistia.com/deliveries/1658d22eb39a560dae20fc92143f6bdf13094887.jpg
Asia2012,Pandai.mov,//fast.wistia.net/embed/iframe/qykwnlmny4,http://embed.wistia.com/deliveries/678e20cd7e0514824d1da0714e99dee774a18ce9.jpg
Asia2012,PendoSystems.mov,//fast.wistia.net/embed/iframe/kwsmv5zory,http://embed.wistia.com/deliveries/173d763679ab89933c494518507e23c4f839d4b4.jpg
Asia2012,Perfectsen.mov,//fast.wistia.net/embed/iframe/2ylupd3jyg,http://embed.wistia.com/deliveries/d6297993e3fc621dc4f230a25405c8445619f473.jpg
