Video Show,Show year,Location,url
Advanced Merchant Payments,2014,FinovateEurope,amp.html
ETRONIKA,2014,FinovateEurope,etronika.html
Luxoft,2014,FinovateEurope,luxoft.html
SaaS Markets,2014,FinovateEurope,saasmarkets.html
AdviceGames,2014,FinovateEurope,advicegames.html
EXCESS RETURN,2014,FinovateEurope,excessreturn.html
Matchi,2014,FinovateEurope,matchi.html
SecureSafe,2014,FinovateEurope,securesafe.html
AnalytixInsight,2014,FinovateEurope,capitalcube.html
EZBOB,2014,FinovateEurope,ezbob.html
Meniga,2014,FinovateEurope,meniga.html
Smart Engine,2014,FinovateEurope,smartengine.html
Arxan Technologies,2014,FinovateEurope,arxan.html
fastacash,2014,FinovateEurope,fastacash.html
Misys,2014,FinovateEurope,misys.html
SoftWear Finance,2014,FinovateEurope,softwearfinance.html
Atsora,2014,FinovateEurope,atsora.html
Feedzai,2014,FinovateEurope,feedzai.html
Mobino,2014,FinovateEurope,mobino.html
SQLI,2014,FinovateEurope,sqli.html
Avoka,2014,FinovateEurope,avoka.html
Fiserv,2014,FinovateEurope,fiserv.html
The Moneyer,2014,FinovateEurope,themoneyer.html
Switchless,2014,FinovateEurope,switchless.html
AXA Banque and Chappuis Halder & Cie,2014,FinovateEurope,axabanque_cappuishaldercie.html
Five Degrees,2014,FinovateEurope,fivedegrees.html
Money on Toast,2014,FinovateEurope,moneyontoast.html
Temenos,2014,FinovateEurope,temenos.html
Backbase,2014,FinovateEurope,backbase.html
GMC Software Technology,2014,FinovateEurope,gmc.html
MyOrder,2014,FinovateEurope,myorder.html
Tink,2014,FinovateEurope,tinkapp.html
BehavioSec,2014,FinovateEurope,behaviosec.html
Innovation Agency,2014,FinovateEurope,innovationagency.html
MyWishBoard,2014,FinovateEurope,mywishboard.html
Top Image Systems,2014,FinovateEurope,topimagesystems.html
Cardwise,2014,FinovateEurope,xpenditure.html
Intuition Intelligence,2014,FinovateEurope,intuitionintelligence.html
NF Innova,2014,FinovateEurope,nfinnova.html
Topicus Finan,2014,FinovateEurope,topicusfinan.html
CRIF,2014,FinovateEurope,crif.html
ITSector,2014,FinovateEurope,itsector.html
Nostrum Group,2014,FinovateEurope,nostrumgroup.html
Toshl,2014,FinovateEurope,toshl.html
The Currency Cloud,2014,FinovateEurope,thecurrencycloud.html
Jack Henry & Associates and Luminous,2014,FinovateEurope,jackhenry_luminous.html
Nous.net,2014,FinovateEurope,nous.html
Truphone,2014,FinovateEurope,truphone.html
CurrencyTransfer.com,2014,FinovateEurope,currencytransfer.html
Jumio,2014,FinovateEurope,jumio.html
payworks,2014,FinovateEurope,payworksmobile.html
Trustev,2014,FinovateEurope,trustev.html
Device Ident,2014,FinovateEurope,deviceident.html
Kensho,2014,FinovateEurope,kensho.html
PhotoPay,2014,FinovateEurope,photopay.html
vaamo,2014,FinovateEurope,vaamo.html
Dynamics,2014,FinovateEurope,dynamics.html
Kofax,2014,FinovateEurope,kofax.html
Pixeliris,2014,FinovateEurope,pixeliris.html
YourWealth,2014,FinovateEurope,yourwealth.html
efigence & Idea Bank,2014,FinovateEurope,efigence_ideabank.html
Kown,2014,FinovateEurope,kown.html
Plutus Software,2014,FinovateEurope,kreditaja.html
Yseop,2014,FinovateEurope,yseop.html
Encap Security,2014,FinovateEurope,encapsecurity.html
LifePay,2014,FinovateEurope,lifepay.html
Red Zebra Analytics,2014,FinovateEurope,redzebra-analytics.html
